Chidamber-Kemerer metrics,Mon, 18 May 2020 19:24:28 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
oracle.jdbc.OracleConnection,2,58,0,56,0,0,1,0.96,56,56
oracle.jdbc.OracleStatement,2,1,0,1,0,0,1,1,1,1
oracle.jdbc.dcn.DatabaseChangeEvent,2,0,0,0,0,0,n/a,0,0,0
oracle.jdbc.dcn.DatabaseChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
oracle.jdbc.dcn.DatabaseChangeRegistration,4,1,0,1,0,0,1,1,1,1
oracle.jdbc.driver.OracleDriver,0,0,0,0,0,0,n/a,0,0,0
org.jabref.FallbackExceptionHandler,2,3,0,2,3,0,1,1,2,2
org.jabref.Globals,199,23,0,1,54,0,1.3,0,22,13
org.jabref.JabRefException,8,8,0,1,8,2,1.17,1.5,6,7
org.jabref.JabRefExecutorService,27,18,0,2,7,0,1.17,1.08,13,14
org.jabref.JabRefExecutorService.NamedRunnable,1,4,0,1,7,0,1,1,2,2
org.jabref.JabRefGUI,45,15,0,1,136,0,4.5,0.62,44,36
org.jabref.JabRefMain,26,6,0,1,77,0,3,0.75,59,12
org.jabref.architecture.ApacheCommonsLang3Allowed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.cli.ArgumentProcessor,52,25,0,2,330,0,3.95,0.85,128,79
org.jabref.cli.ArgumentProcessor.Mode,3,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.cli.AuxCommandLine,7,4,0,1,7,0,1.5,1,8,3
org.jabref.cli.CrossrefFetcherEvaluator,11,2,0,1,39,0,2.67,0.5,9,8
org.jabref.cli.GenerateCharacterTable,1,2,0,1,35,0,2,0.5,2,4
org.jabref.cli.ImportInspectionCommandLine,7,7,0,1,8,0,1.33,1.67,6,4
org.jabref.cli.JabRefCLI,6,38,0,4,163,0,1,0.03,57,35
org.jabref.cli.SystemOutputPrinter,3,6,0,3,3,0,1,1.67,3,3
org.jabref.gui.AbstractController,12,5,0,2,1,8,1,0.33,3,3
org.jabref.gui.AbstractDialogView,7,7,1,1,n/a,6,1,0.33,5,2
org.jabref.gui.AbstractView,15,4,0,1,18,3,1.5,0.25,5,6
org.jabref.gui.AbstractViewModel,11,0,0,0,0,10,n/a,0,0,0
org.jabref.gui.BasePanel,243,132,0,7,18,0,2.4,0.45,315,257
org.jabref.gui.BasePanel.EntryRemovedListener,8,1,0,1,9,0,3,1,8,3
org.jabref.gui.BasePanel.GroupTreeListener,8,1,0,1,7,0,3,1,5,3
org.jabref.gui.BasePanel.OpenURLAction,9,2,0,1,45,0,7,0,10,7
org.jabref.gui.BasePanel.PrintPreviewAction,3,2,0,1,2,0,1,0,3,1
org.jabref.gui.BasePanel.RedoAction,7,2,0,1,10,0,1,0,9,1
org.jabref.gui.BasePanel.SaveSelectedAction,15,4,0,1,18,0,1.5,0.5,13,3
org.jabref.gui.BasePanel.SearchAndOpenFile,11,4,0,1,26,0,2.5,1,15,5
org.jabref.gui.BasePanel.SearchAutoCompleteListener,5,2,0,1,4,0,1,1,4,2
org.jabref.gui.BasePanel.SearchListener,6,3,0,1,8,0,1,1,6,3
org.jabref.gui.BasePanel.UndoAction,9,2,0,1,15,0,3,0,11,3
org.jabref.gui.BasePanelMode,5,4,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.ClipBoardManager,24,10,0,2,30,0,1.57,0.86,16,11
org.jabref.gui.DefaultInjector,9,3,0,1,9,0,4.5,1.5,4,9
org.jabref.gui.Dialog,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.DialogService,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21,n/a
org.jabref.gui.DragAndDropDataFormats,3,3,0,0,0,0,n/a,0,0,0
org.jabref.gui.DragDropPane,2,4,0,0,12,1,4,0,2,12
org.jabref.gui.DragDropPane.MarkerPane,4,5,0,1,12,0,1,0.67,7,3
org.jabref.gui.DragDropPopupPane,2,7,1,1,8,0,1.33,1,2,4
org.jabref.gui.DuplicateResolverDialog,16,22,1,1,73,0,1.86,2,19,13
org.jabref.gui.DuplicateResolverDialog.DuplicateResolverResult,4,7,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.DuplicateResolverDialog.DuplicateResolverType,4,4,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.DuplicateSearch,16,5,0,1,4,0,6.33,0.5,17,19
org.jabref.gui.DuplicateSearch.DuplicateCallBack,7,11,0,1,4,0,1,1,7,4
org.jabref.gui.DuplicateSearch.SearcherRunnable,5,4,0,1,11,0,2,0,6,6
org.jabref.gui.EntryContainer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.EntryMarker,16,10,0,1,94,0,4.83,2,17,29
org.jabref.gui.EntryTypeDialog,22,26,1,2,74,0,1.78,0.5,24,16
org.jabref.gui.EntryTypeDialog.CancelAction,1,2,0,1,3,0,1,0.5,3,2
org.jabref.gui.EntryTypeDialog.FetcherWorker,16,6,0,1,74,0,4,0,26,8
org.jabref.gui.EntryTypeDialog.TypeButton,2,4,0,1,4,0,1,1,4,3
org.jabref.gui.FXDialog,12,11,0,3,63,0,1.33,1.7,13,16
org.jabref.gui.FXDialogService,39,42,0,10,94,0,1.05,1.82,32,23
org.jabref.gui.FindUnlinkedFilesDialog,28,81,1,2,2,0,1.97,1.17,50,67
org.jabref.gui.FindUnlinkedFilesDialog.BibtexEntryTypeWrapper,3,4,0,1,2,0,1.33,0.33,5,4
org.jabref.gui.FindUnlinkedFilesDialog.CheckableTreeNode,3,7,0,2,5,0,1.2,0.4,5,6
org.jabref.gui.FindUnlinkedFilesDialog.CheckboxTreeCellRenderer,3,2,0,1,15,0,3,7,4,3
org.jabref.gui.FindUnlinkedFilesDialog.FileNodeWrapper,3,5,0,0,2,0,1,1,3,3
org.jabref.gui.GUIGlobals,32,21,0,1,102,0,1.8,0.4,22,9
org.jabref.gui.GenFieldsCustomizer,13,27,1,1,93,0,1.83,0.2,22,11
org.jabref.gui.GlobalFocusListener,7,5,0,2,2,0,1.25,0.75,4,5
org.jabref.gui.IconTheme,88,16,0,3,14,0,1.38,0.62,11,11
org.jabref.gui.IconTheme.FontBasedIcon,8,11,0,1,14,0,1,1.25,10,8
org.jabref.gui.IconTheme.JabRefIcon,82,119,n/a,2,n/a,n/a,1,0.38,12,8
org.jabref.gui.JEditorPaneWithHighlighting,2,4,0,1,16,0,2,0.5,2,4
org.jabref.gui.JabRefDialog,38,9,0,1,18,37,1,2.67,10,9
org.jabref.gui.JabRefFrame,203,230,0,4,13,0,2.27,0.59,266,184
org.jabref.gui.JabRefFrame.BibtexKeyPatternAction,5,6,1,1,8,0,1.5,0.5,9,3
org.jabref.gui.JabRefFrame.ChangeTabAction,6,6,1,1,12,0,3.5,1,6,7
org.jabref.gui.JabRefFrame.CloseAction,6,5,1,1,9,0,1,0.5,8,2
org.jabref.gui.JabRefFrame.CloseAllDatabasesAction,3,4,1,1,2,0,2,1,2,2
org.jabref.gui.JabRefFrame.CloseDatabaseAction,8,5,1,1,11,0,1,0.5,11,2
org.jabref.gui.JabRefFrame.CloseOtherDatabasesAction,3,4,1,1,4,0,3,1,3,3
org.jabref.gui.JabRefFrame.CustomizeEntryTypeAction,4,5,1,1,4,0,1,0.5,5,2
org.jabref.gui.JabRefFrame.CustomizeExportsAction,4,5,1,1,3,0,1,0.5,5,2
org.jabref.gui.JabRefFrame.CustomizeImportsAction,4,5,1,1,3,0,1,0.5,5,2
org.jabref.gui.JabRefFrame.DatabasePropertiesAction,4,6,1,1,7,0,1.5,0.5,9,3
org.jabref.gui.JabRefFrame.DecreaseTableFontSizeAction,8,5,1,1,13,0,2,0.5,10,4
org.jabref.gui.JabRefFrame.DefaultTableFontSizeAction,9,5,1,1,13,0,1.5,0.5,11,3
org.jabref.gui.JabRefFrame.EditAction,4,6,1,1,13,0,1.5,3,6,3
org.jabref.gui.JabRefFrame.EditModeAction,5,3,0,1,25,0,1.67,0.33,13,5
org.jabref.gui.JabRefFrame.GenFieldsCustomizationAction,4,5,1,1,4,0,1,0.5,5,2
org.jabref.gui.JabRefFrame.GeneralAction,3,12,1,1,22,0,1.12,3.12,11,9
org.jabref.gui.JabRefFrame.IncreaseTableFontSizeAction,8,5,1,1,13,0,1.5,0.5,10,3
org.jabref.gui.JabRefFrame.MyGlassPane,1,2,0,1,4,0,1,0,2,2
org.jabref.gui.JabRefFrame.ProtectedTermsAction,4,5,1,1,3,0,1,0.5,6,2
org.jabref.gui.JabRefFrame.ShowPrefsAction,5,5,1,1,7,0,1,0.5,8,2
org.jabref.gui.JabRefFrame.ToolBar,4,7,1,1,13,0,3,1,4,6
org.jabref.gui.JabRefFrame.UndoRedoEventManager,5,3,0,1,13,0,1,1,9,3
org.jabref.gui.MergeDialog,7,28,1,1,48,0,1,0.43,10,8
org.jabref.gui.OSXCompatibleToolbar,10,5,0,1,5,1,1.4,1,5,7
org.jabref.gui.PreambleEditor,19,21,1,2,5,0,1,0.8,20,8
org.jabref.gui.PreambleEditor.CloseAction,4,2,0,1,5,0,1,0.5,5,2
org.jabref.gui.PreambleEditor.FieldListener,2,1,0,1,3,0,2,1,2,2
org.jabref.gui.PreambleEditor.RedoAction,5,2,0,1,4,0,1,0.5,4,2
org.jabref.gui.PreambleEditor.StoreFieldAction,8,2,0,1,15,0,2,0.5,12,4
org.jabref.gui.PreambleEditor.UndoAction,5,2,0,1,4,0,1,0.5,4,2
org.jabref.gui.PreviewPanel,38,33,0,1,167,0,1.6,0.6,44,32
org.jabref.gui.ReplaceStringDialog,10,25,1,3,87,0,1.86,1,15,13
org.jabref.gui.SaveOrderConfigDisplay,7,14,0,1,59,0,1,0.43,16,7
org.jabref.gui.SidePane,2,9,0,2,16,0,1.4,0.4,6,7
org.jabref.gui.SidePaneComponent,13,15,0,8,n/a,4,1,0.42,17,10
org.jabref.gui.SidePaneComponent.ToggleAction,10,8,1,3,23,0,1.4,2,13,7
org.jabref.gui.SidePaneManager,17,25,0,1,39,0,2.05,0.8,39,41
org.jabref.gui.SidePaneManager.PreferredIndexSort,2,3,0,1,7,0,1,1,3,2
org.jabref.gui.StateManager,17,14,0,4,21,0,1.1,0.5,11,11
org.jabref.gui.StringDialog,26,23,1,3,5,0,1.38,0.67,30,11
org.jabref.gui.StringDialog.CloseAction,3,2,0,1,5,0,1,0.5,4,2
org.jabref.gui.StringDialog.NewStringAction,10,3,0,1,27,0,3,1,13,6
org.jabref.gui.StringDialog.RedoAction,6,2,0,1,5,0,1,0.5,5,2
org.jabref.gui.StringDialog.RemoveStringAction,10,3,0,1,21,0,3.5,1,12,7
org.jabref.gui.StringDialog.SaveDatabaseAction,4,3,0,1,5,0,1,1,5,2
org.jabref.gui.StringDialog.StringTable,6,3,0,1,26,0,1,0.5,5,2
org.jabref.gui.StringDialog.StringTableModel,12,9,0,4,43,0,2.29,1.43,22,16
org.jabref.gui.StringDialog.UndoAction,6,2,0,1,5,0,1,0.5,5,2
org.jabref.gui.TransferableBibtexEntry,10,6,0,1,11,0,1.75,0.75,9,7
org.jabref.gui.UpdateTimestampListener,6,3,0,1,8,0,1.5,1,8,3
org.jabref.gui.WaitForSaveOperation,3,8,0,2,29,0,1.75,0.5,10,7
org.jabref.gui.WrapLayout,2,7,0,1,22,0,2.29,1.57,7,16
org.jabref.gui.actions.Actions,13,65,0,0,0,0,1,0,1,1
org.jabref.gui.actions.AutoLinkFilesAction,14,2,0,1,41,0,2.5,0.5,20,5
org.jabref.gui.actions.BaseAction,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.actions.ChangeTypeAction,7,6,0,3,13,0,1.25,2.25,11,5
org.jabref.gui.actions.CleanupAction,16,20,1,1,57,0,3.67,1,35,22
org.jabref.gui.actions.ConnectToSharedDatabaseAction,4,6,1,1,6,0,1,1,7,2
org.jabref.gui.actions.CopyBibTeXKeyAndLinkAction,10,4,0,1,35,0,4,0.5,8,8
org.jabref.gui.actions.CopyDoiUrlAction,7,5,0,1,16,0,1.67,1,10,5
org.jabref.gui.actions.CopyVersionToClipboardAction,6,1,0,1,6,0,1,1,7,1
org.jabref.gui.actions.ErrorConsoleAction,3,2,0,1,6,0,1,0.5,5,2
org.jabref.gui.actions.IntegrityCheckAction,12,8,1,1,121,0,3,1,25,15
org.jabref.gui.actions.LookupIdentifierAction,5,8,1,1,6,0,1,1.5,7,2
org.jabref.gui.actions.ManageKeywordsAction,17,17,1,1,172,0,3.7,1,46,37
org.jabref.gui.actions.MassSetFieldAction,13,25,1,1,197,0,3.89,1.88,38,35
org.jabref.gui.actions.MnemonicAwareAction,39,3,0,1,n/a,38,2,1,4,6
org.jabref.gui.actions.NewDatabaseAction,8,7,1,1,13,0,1,1.5,13,2
org.jabref.gui.actions.NewEntryAction,12,11,1,1,32,0,1.6,1.8,21,8
org.jabref.gui.actions.NewSubDatabaseAction,11,6,1,1,15,0,1.5,1,17,3
org.jabref.gui.actions.OpenBrowserAction,2,4,0,1,6,0,1,3,4,3
org.jabref.gui.actions.SearchForUpdateAction,3,2,0,1,3,0,1,0.5,4,2
org.jabref.gui.actions.SortTabsAction,4,7,1,2,15,0,1.67,1.33,9,5
org.jabref.gui.autocompleter.AppendPersonNamesStrategy,3,8,1,1,1,0,1.33,0.33,3,4
org.jabref.gui.autocompleter.AppendWordsStrategy,4,4,0,1,8,1,1.33,1,4,4
org.jabref.gui.autocompleter.AutoCompleteFirstNameMode,5,4,n/a,1,n/a,n/a,1,1,2,1
org.jabref.gui.autocompleter.AutoCompletePreferences,10,21,0,6,6,0,1,0.86,14,14
org.jabref.gui.autocompleter.AutoCompleteSuggestionProvider,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.autocompleter.AutoCompleteUpdater,5,4,0,1,4,0,1,1,5,3
org.jabref.gui.autocompleter.AutoCompletionInput,4,5,0,2,0,0,1,0.67,3,3
org.jabref.gui.autocompleter.AutoCompletionStrategy,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.autocompleter.AutoCompletionTextInputBinding,8,18,0,5,40,0,1.4,1.85,16,21
org.jabref.gui.autocompleter.BibEntrySuggestionProvider,5,12,1,3,8,0,1.33,1,6,4
org.jabref.gui.autocompleter.ContentSelectorSuggestionProvider,4,6,0,1,4,0,1.33,1.33,4,4
org.jabref.gui.autocompleter.FieldValueSuggestionProvider,4,16,2,1,5,1,1.5,1,3,3
org.jabref.gui.autocompleter.JournalsSuggestionProvider,7,17,3,0,9,0,1,3,5,1
org.jabref.gui.autocompleter.PersonNameStringConverter,6,7,0,1,12,0,4,1.5,12,16
org.jabref.gui.autocompleter.PersonNameSuggestionProvider,8,16,1,3,16,0,1.6,1,10,8
org.jabref.gui.autocompleter.ReplaceStrategy,3,2,0,1,0,0,1,1,2,1
org.jabref.gui.autocompleter.StringSuggestionProvider,3,12,1,2,5,2,1,0.67,3,3
org.jabref.gui.autocompleter.SuggestionProvider,4,10,0,2,n/a,4,1.5,1,9,9
org.jabref.gui.autocompleter.SuggestionProvider.SuggestionProviderString,1,13,1,2,9,0,1.4,1,3,7
org.jabref.gui.autocompleter.SuggestionProviders,22,7,0,2,16,0,2,1.33,13,12
org.jabref.gui.autocompleter.WordSuggestionProvider,4,17,2,1,6,0,2,1,3,4
org.jabref.gui.auximport.AuxParserResultViewModel,5,3,0,1,47,0,2.5,1,12,5
org.jabref.gui.auximport.FromAuxDialog,20,28,1,1,124,0,1.71,0.67,34,12
org.jabref.gui.bibtexkeypattern.BibtexKeyPatternDialog,12,16,1,2,38,0,1.2,1,17,6
org.jabref.gui.bibtexkeypattern.BibtexKeyPatternPanel,17,14,0,1,99,1,2.12,1.12,26,17
org.jabref.gui.bibtexkeypattern.ResolveDuplicateLabelDialog,9,9,0,3,55,0,1.17,0.6,20,7
org.jabref.gui.bibtexkeypattern.SearchFixDuplicateLabels,13,14,1,1,45,0,3.5,0.25,24,14
org.jabref.gui.cleanup.CleanupActionsListModel,3,11,0,1,16,0,1.56,0.78,10,14
org.jabref.gui.cleanup.CleanupPresetPanel,10,19,0,1,104,0,3.2,0.6,28,16
org.jabref.gui.cleanup.FieldFormatterCleanupsPanel,19,26,0,1,10,0,1.61,0.46,44,29
org.jabref.gui.cleanup.FieldFormatterCleanupsPanel.EnablementStatusListener,1,3,0,1,10,0,1,1,3,3
org.jabref.gui.collab.ChangeDisplayDialog,8,20,1,2,56,0,3,1.5,16,12
org.jabref.gui.collab.ChangeScanner,40,17,0,1,110,0,1.88,1.12,52,15
org.jabref.gui.collab.ChangeScanner.DisplayResultCallback,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.collab.ChangeViewModel,16,10,0,3,n/a,11,1.17,0.62,8,7
org.jabref.gui.collab.DatabaseChangeMonitor,10,18,0,1,55,0,1.67,0.44,26,15
org.jabref.gui.collab.EntryAddChangeViewModel,11,15,1,2,11,0,1,1.33,14,3
org.jabref.gui.collab.EntryChangeViewModel,9,14,1,2,37,0,3.33,2,13,10
org.jabref.gui.collab.EntryChangeViewModel.FieldChangeViewModel,9,20,1,2,37,0,2.67,3,10,8
org.jabref.gui.collab.EntryDeleteChangeViewModel,11,17,1,2,14,0,1,1.67,14,3
org.jabref.gui.collab.FileUpdatePanel,11,25,1,4,18,0,1.14,0.86,14,8
org.jabref.gui.collab.GroupChangeViewModel,14,15,1,1,37,0,3.67,1.33,23,11
org.jabref.gui.collab.InfoPane,6,2,0,1,4,0,1,0.5,2,2
org.jabref.gui.collab.MetaDataChangeViewModel,10,17,1,2,7,0,1,1.67,9,3
org.jabref.gui.collab.PreambleChangeViewModel,10,17,1,2,32,0,1.67,1.67,12,5
org.jabref.gui.collab.StringAddChangeViewModel,10,17,1,2,28,0,1.33,1.33,14,4
org.jabref.gui.collab.StringChangeViewModel,11,20,1,2,46,0,2,2,15,6
org.jabref.gui.collab.StringNameChangeViewModel,10,19,1,1,19,0,2,2.33,15,6
org.jabref.gui.collab.StringRemoveChangeViewModel,9,18,1,2,20,0,1,1.67,13,3
org.jabref.gui.contentselector.ContentSelectorDialog,13,49,1,1,15,0,4.2,0.78,25,42
org.jabref.gui.contentselector.ContentSelectorDialog.FieldNameFocusAdapter,1,1,0,1,15,0,3,1,4,3
org.jabref.gui.copyfiles.CopyFilesAction,18,7,0,1,27,0,1.25,0.75,18,5
org.jabref.gui.copyfiles.CopyFilesDialogController,5,13,1,2,24,0,1.67,0.33,9,5
org.jabref.gui.copyfiles.CopyFilesDialogView,7,10,2,2,9,0,1,1.33,6,3
org.jabref.gui.copyfiles.CopyFilesDialogViewModel,4,3,1,1,3,0,1,0.5,3,2
org.jabref.gui.copyfiles.CopyFilesResultItemViewModel,5,8,0,3,6,0,1.2,0.6,5,6
org.jabref.gui.copyfiles.CopyFilesResultListDependency,5,5,0,1,0,0,1,0.25,4,4
org.jabref.gui.copyfiles.CopyFilesTask,11,18,0,1,59,0,1.75,2.25,10,7
org.jabref.gui.customentrytypes.CustomEntryTypesManager,7,3,0,1,9,0,1,1,5,3
org.jabref.gui.customentrytypes.EntryCustomizationDialog,23,33,1,1,6,0,5.12,0.57,43,41
org.jabref.gui.customentrytypes.EntryCustomizationDialog.DataListener,2,4,0,1,6,0,1.25,0.75,5,5
org.jabref.gui.customentrytypes.EntryCustomizationDialog.DefaultListener,4,1,0,1,16,0,6,1,4,6
org.jabref.gui.customentrytypes.EntryTypeList,12,40,1,2,48,0,2.29,1.14,15,16
org.jabref.gui.customentrytypes.FieldSetComponent,11,31,0,2,2,1,2.38,1.62,21,38
org.jabref.gui.customentrytypes.FieldSetComponent.FieldListFocusListener,1,4,0,2,2,0,1.33,1,3,4
org.jabref.gui.customjfx.CustomJFXPanel,14,7,0,2,22,0,1.8,0.6,5,9
org.jabref.gui.dbproperties.DatabasePropertiesDialog,23,35,1,1,217,0,2.27,0.3,66,25
org.jabref.gui.desktop.JabRefDesktop,52,16,0,4,147,0,3.31,1.69,56,43
org.jabref.gui.desktop.os.DefaultDesktop,2,16,0,7,12,0,1,1.43,8,7
org.jabref.gui.desktop.os.Linux,6,15,0,5,53,0,2.29,1.43,11,16
org.jabref.gui.desktop.os.NativeDesktop,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
org.jabref.gui.desktop.os.OSX,4,15,0,6,21,0,1.29,1.43,9,9
org.jabref.gui.desktop.os.Windows,6,16,0,5,39,0,1.86,1.43,12,13
org.jabref.gui.dialogs.AutosaveUIManager,4,4,0,1,3,0,1,1,4,2
org.jabref.gui.dialogs.BackupUIManager,4,2,0,1,14,0,1.5,1,4,3
org.jabref.gui.documentviewer.DocumentPageViewModel,5,3,0,3,n/a,1,n/a,0.67,3,0
org.jabref.gui.documentviewer.DocumentViewModel,4,4,0,2,n/a,1,1,0,3,2
org.jabref.gui.documentviewer.DocumentViewerControl,6,18,0,1,44,0,1.5,0.58,18,18
org.jabref.gui.documentviewer.DocumentViewerControl.DocumentViewerPage,5,13,0,2,44,0,1,0.33,17,9
org.jabref.gui.documentviewer.DocumentViewerController,8,26,1,1,52,0,1.08,0.5,32,13
org.jabref.gui.documentviewer.DocumentViewerView,5,8,2,1,7,0,1,0,3,1
org.jabref.gui.documentviewer.DocumentViewerViewModel,9,20,1,5,37,0,1.29,0.36,20,18
org.jabref.gui.documentviewer.PageDimension,4,6,0,4,n/a,2,1,1,8,4
org.jabref.gui.documentviewer.PageDimension.FixedHeightPageDimension,1,6,1,1,0,0,1,1,3,3
org.jabref.gui.documentviewer.PageDimension.FixedWidthPageDimension,1,6,1,1,0,0,1,1,3,3
org.jabref.gui.documentviewer.PdfDocumentPageViewModel,2,11,1,2,11,0,1,1.6,8,5
org.jabref.gui.documentviewer.PdfDocumentViewModel,4,7,1,1,10,0,1.5,0.5,7,3
org.jabref.gui.documentviewer.ShowDocumentViewerAction,6,6,1,1,9,0,1,1.33,9,3
org.jabref.gui.entryeditor.DeprecatedFieldsTab,9,27,2,1,8,0,1,2.5,6,2
org.jabref.gui.entryeditor.EntryEditor,39,26,0,1,139,0,2.14,0.29,65,30
org.jabref.gui.entryeditor.EntryEditorTab,8,6,0,2,n/a,5,1.5,0.75,6,3
org.jabref.gui.entryeditor.EntryEditorTabList,5,7,0,1,19,0,1.6,0.4,7,8
org.jabref.gui.entryeditor.FieldsEditorTab,25,27,1,3,n/a,6,2.15,1.79,24,28
org.jabref.gui.entryeditor.MathSciNetTab,6,11,1,1,25,0,1.2,0.8,7,6
org.jabref.gui.entryeditor.OptionalFields2Tab,9,27,2,1,8,0,1,2.5,6,2
org.jabref.gui.entryeditor.OptionalFieldsTab,9,27,2,1,8,0,1,2.5,6,2
org.jabref.gui.entryeditor.OtherFieldsTab,11,27,2,1,24,0,1,2.5,9,2
org.jabref.gui.entryeditor.RelatedArticlesTab,12,12,1,2,48,0,1,1,18,5
org.jabref.gui.entryeditor.RequiredFieldsTab,9,27,2,1,10,0,1,2.5,6,2
org.jabref.gui.entryeditor.SourceTab,23,19,1,2,90,0,3.2,2.2,41,16
org.jabref.gui.entryeditor.UserDefinedFieldsTab,8,28,2,1,4,0,1,3.5,4,2
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTab,8,10,1,2,8,0,1,1,7,3
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTabController,8,19,1,1,83,0,1,0.67,18,3
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTabView,4,6,1,1,4,0,1,2,3,2
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTabViewModel,12,21,1,3,52,0,1.1,0.5,22,11
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationViewModel,7,19,0,4,47,0,1.54,0.15,23,20
org.jabref.gui.errorconsole.ErrorConsoleController,10,21,1,2,47,0,1.38,0.14,16,11
org.jabref.gui.errorconsole.ErrorConsoleView,5,8,2,1,5,0,1,0,3,1
org.jabref.gui.errorconsole.ErrorConsoleViewModel,10,14,1,2,41,0,1.14,0.71,21,8
org.jabref.gui.errorconsole.LogEventViewModel,5,7,0,1,15,0,2,0.17,11,12
org.jabref.gui.exporter.CustomExportDialog,14,21,1,4,92,0,1.57,0.83,18,11
org.jabref.gui.exporter.ExportAction,22,4,0,1,68,0,1.62,1.33,10,13
org.jabref.gui.exporter.ExportCustomizationDialog,16,13,1,0,4,0,4.5,1,22,9
org.jabref.gui.exporter.ExportCustomizationDialog.ExportTableFormat,2,6,0,3,4,0,2,1,4,6
org.jabref.gui.exporter.ExportFileFilter,2,11,0,3,11,0,1.38,0.5,11,11
org.jabref.gui.exporter.ExportToClipboardAction,13,14,1,1,61,0,2.67,0.33,18,8
org.jabref.gui.exporter.RtfTransferable,2,10,0,2,8,0,1.4,1,5,7
org.jabref.gui.exporter.SaveAllAction,11,8,1,1,23,0,2,0.67,18,6
